gene	betas
ENSG00000047315	-76.1400282744961
ENSG00000055208	4.86684469242188
ENSG00000072062	-186.342072758137
ENSG00000085415	5.64740040453288
ENSG00000095261	13.2230113844033
ENSG00000100142	8.03667146471024
ENSG00000100764	0.0692767684647159
ENSG00000100902	3.99029535419557
ENSG00000105568	-84.0001287234965
ENSG00000106588	20.5020662577318
ENSG00000108946	0.253728265997776
ENSG00000112062	-19.5336224801083
ENSG00000112640	-701.337201569338
ENSG00000113558	-2.64894179451166
ENSG00000114302	-0.11272932522646
ENSG00000115233	14.3924438865727
ENSG00000116478	3.02070156927614
ENSG00000116711	-94.218800812322
ENSG00000121879	-106.182776901531
ENSG00000126067	0.0257921163730815
ENSG00000127928	-53.6678082390163
ENSG00000134057	51.1595352521843
ENSG00000134058	222.370637324771
ENSG00000136930	694.300876226652
ENSG00000137275	-99.4349299149294
ENSG00000140992	175.63558082242
ENSG00000142507	274.764804163452
ENSG00000142875	-41.5531628696017
ENSG00000150093	-63.8782470334259
ENSG00000151247	33.9113906658073
ENSG00000156052	-19.1120675162005
ENSG00000156711	-64.8205539986386
ENSG00000159352	1.90362825595005
ENSG00000161057	19.2466422001368
ENSG00000161203	149.599255175959
ENSG00000163636	8.65219623559539
ENSG00000163932	-53.0916543773841
ENSG00000164305	27.2625719488451
ENSG00000164742	1011.30716522753
ENSG00000165059	234.408007702917
ENSG00000167965	-65.822089132694
ENSG00000168036	37.5267383150613
ENSG00000169398	-110.10751661904
ENSG00000173692	-5.46240192259721
ENSG00000182621	-198.260071198043
ENSG00000182866	51.1414471756312
ENSG00000188191	-0.591896246847904
ENSG00000221983	-239.731256896317
ENSG00000226201	-6.27057112004246
ENSG00000227715	2.09572531713116
ENSG00000229215	13.4161226946621
ENSG00000230669	21.8616893852759
ENSG00000231631	-16.7034531556091
ENSG00000236443	-49.3249919060816
ENSG00000240118	-0.5336916120384
ENSG00000240508	-13.7807872164362
ENSG00000243594	-0.235534850481169
ENSG00000277791	-8.03086443844949
ENSG00000281221	23.5125186585956
ENSG00000284889	-1.38596154042959
