gene	betas
ENSG00000047315	-14.7471315142025
ENSG00000055208	716.082118452774
ENSG00000072062	-52.0368544093092
ENSG00000078295	-81.6594793466684
ENSG00000082701	46.8802618538169
ENSG00000100142	2.47621366299899
ENSG00000108946	2.69172434044618
ENSG00000112062	-4.90402298636493
ENSG00000113558	-47.067449759813
ENSG00000114302	-1.07619828948713
ENSG00000116711	-87.2054385479989
ENSG00000121879	-50.0532714760707
ENSG00000127928	-68.910147903111
ENSG00000134057	24.7317770971217
ENSG00000134058	125.109856857098
ENSG00000137275	-59.0897472925851
ENSG00000140992	178.914586205369
ENSG00000142875	-22.7582548127861
ENSG00000150093	-5.03049650439004
ENSG00000156711	-9.7122866881798
ENSG00000161203	42.2426482018208
ENSG00000162104	1.51809904617565
ENSG00000162188	-19.5341365610164
ENSG00000163932	-5.23501427185789
ENSG00000164742	50.7810940627845
ENSG00000165059	174.453679655687
ENSG00000167414	-234.54383789595
ENSG00000168036	30.0421253176765
ENSG00000168243	-8.60898483406086
ENSG00000172354	8.38818470814874
ENSG00000176533	-0.789473847319968
ENSG00000182621	5.44692015089796
ENSG00000182866	29.610786046952
ENSG00000186469	-55.0792918062039
ENSG00000188191	-42.7286940420516
ENSG00000224320	0.0821921831367752
ENSG00000227715	-0.270169039920105
ENSG00000229215	8.45547589718446
ENSG00000230669	9.75666646093324
ENSG00000231631	-77.2135731858016
ENSG00000236443	-19.4210195319902
